Office_ID,Office Name,Office Address,POSTAL,X-COORDINATES,Y-COORDINATES
1,Vision Exchange,2 Venture Drive 608526,608526,18123.7093,34707.1135
2,Paya Lebar Square,60 Paya Lebar Singapore 409051,409051,34595.3032,33453.4435
3,International Plaza,10 Anson Road 079903,079903,29406.343,28703.2721
4,SBF Center,160 Robinson Road 068914,068914,29617.7457,28954.4153
5,Oxley Tower,138 Robinson Road 068906,068906,29680.5631,29018.3591
6,The Central,6 Eu Tong Sen Street 059817,059817,29473.438,30138.7431
7,Suntec City Tower,9 Temasek Boulevard 038989,038989,30854.5267,30883.9066
8,GSH Plaza,20 Cecil Street 049705,049705,29907.8085,29499.0188
9,Burlington Square,175 Bencoolen Street 189649,189649,30157.0511,31621.0892
10,High Street Centre,1 North Bridge Road 179094,179094,29769.373,30265.9206
11,Shenton House,3 Shenton Way 068805,068805,29866.5301,29000.5868
12,Sim Lim Tower,10 Jalan Besar 208787,208787,30375.2646,31790.034
13,Golden Mile Complex,5001 Beach Road 199588,199588,31562.3945,31692.8237
14,People's Park Centre,101 Upper Cross Street 058357,058357,29187.7799,29782.8865
15,Chinatown Point,133 New Bridge Road 059413,059413,29293.6915,29743.1248
16,PS100,100 PECK SEAH STREET 079333,079333,29216.0074,28702.6046
17,City Plaza,810 Geylang Road 409286,409286,34698.5687,32999.4025
18,The Plaza,7500 Beach Road 199590,199590,31041.4381,31330.9367
19,Sunshine Plaza,91 Bencoolen Street 189652,189652,29972.9168,31411.3642
20,Havelock II,2 Havelock Road 059763,059763,29326.0791,29943.1488
21,Robinson Square,144 Robinson Road 068908,068908,29650.5895,28969.7006
22,Prudential Towers,30 Cecil Street 049712,049712,29842.438,29471.8198
23,Textile Centre,200 Jalan Sultan 199018,199018,31150.8906,31808.4144
24,WIS @ Changi,116 Changi Road 419718,419718,35558.1896,33194.3221
25,Parkway Centre,1 Marine Parade Central 449408,449408,36088.3933,31581.7202
26,Eon Shenton,70 Shenton Way 079118,079118,29435.1289,28482.5936
27,High Street Plaza,77 High Street 179433,179433,29783.7449,30318.8662
28,Crown at Robinson,140 Robinson Rd 068907,068907,29664.3237,28981.351
29,Fortune Centre,190 Middle Road 188979,188979,30111.6599,31418.7253
30,The Adelphi,1 Coleman Street 179803,179803,29987.9521,30398.6047
31,TripleOne Somerset,111 Somerset Road 238164,238164,28445.1517,31395.4438
32,ARC 380,380 JALAN BESAR 209000,209000,31012.5751,32833.6585
33,Joo Seng Warehouse,1 Upper Aljunied Link 367901,367901,33366.8634,35242.6031
34,Peace Centre,1 Sophia Road 228149,228149,29808.6198,31499.763
35,Manhattan House,151 Chin Swee Road 169876,169876,28833.0475,29941.2724
36,Fook Hai Building,150 South Bridge Road 058727,058727,29460.2085,29711.5173
37,Gb Building,143 Cecil Street 069542,069542,29628.0455,29011.3818
38,Peninsula Plaza,111 North Bridge Road 179098,179098,29945.9048,30523.4453
39,SOHO @ Central,6 Eu Tong Sen Street 059817,059817,29473.438,30138.7431
40,Maxwell House,20 MAXWELL ROAD 069113,069113,29264.4257,29050.761
41,The Riverside Piazza,11 Keng Cheow Street 059608,059608,29194.2541,30099.7028
42,Golden Wall Centre,89 Short Street 188216,188216,30017.6373,31804.5938
43,Fu Lu Shou Complex,149 Rochor Road 188425,188425,30359.9047,31544.2639
44,Citiraya Centre,30 Lorong 27 Geylang 388164,388164,33645.8759,33023.6223
45,AXA Tower,8 Shenton Way 068811,068811,29538.9117,28677.7537
46,Quartz Industrial Building,5 Upper Aljunied Link 367903,367903,33432.5602,35202.9969
47,The Sunflower,510 Geylang Road 389466,389466,33788.7768,32866.8695
48,The Bencoolen,180B Bencoolen Street 189648,189648,30228.4932,31553.4157
49,Tanjong Pagar Plaza,1 Tanjong Pagar Plaza 082001,082001,29042.4355,28671.779
50,Goldhill Centre,51 Thomson Road 307586,307586,,
51,GSM Building,141 Middle Road 188976,188976,30123.9399,31308.6229
52,Grandlink Square,511 Guillemard Road 399849,399849,34475.0919,32942.1896
53,"Central, Connected Office",8 Eu Tong Sen 059818,059818,29473.438,30138.7431
54,The Arcade,11 Collyer Quay 049317,049317,30086.7196,29561.6694
55,Samsung Hub,3 Church Street 049483,049483,29815.5454,29524.1934
56,Sultan Plaza,100 Jalan Sultan 199001,199001,31175.2528,31698.4705
57,Parklane Shopping Mall,35 Selegie Road 188307,188307,29795.1275,31444.2734
58,Ming Arcade,21 Cuscaden Road 249720,249720,27402.2307,32058.3867
59,Bylands Building,135 Middle Road 188975,188975,30147.5846,31291.2737
60,Le Shantier,519 Balestier Road 329852,329852,29470.5805,34257.6978
61,Southbank,881 North Bridge Road 198784,198784,31448.8876,32070.8664
62,Goldhill Plaza,51 Goldhill Plaza 308900,308900,29066.8172,33393.2197
63,United House,20 Kramat Lane 228773,228773,29017.6633,31490.4322
64,Bras Basah Complex,231 Bain Street 180231,180231,30270.4852,31005.8687
65,Furama City Centre,60 Eu Tong Sen Street 059804,059804,29259.4837,29871.4694
66,Hillview Building,48 Hillview Terrace 669269,669269,19594.2382,37234.2807
67,Kewalram Hillview,120 Hillview Avenue 669594,669594,20017.3087,37668.6248
68,The Modules,387 Joo Chiat Road 427623,427623,35847.2545,32253.2094
69,Far East Finance Building,14 Robinson Road 048545,048545,29940.5131,29398.2385
70,Malacca Centre,20 Malacca Street 048979,048979,29935.72,29597.3921
71,Crown Centre,557 Bukit Timah Road 269694,269694,25533.4003,33919.0712
72,Waterloo Centre,261 Waterloo Street 180261,180261,30075.4043,31238.852
73,Highland Centre,22 Yio Chu Kang Road 545535,545535,32889.5695,37497.8321
74,Da Jin Factory Building,362 Upper Paya Lebar Road 534963,534963,33349.0193,36686.8687
75,Kembangan Court,5 Jalan Masjid 418924,418924,36788.6023,33542.7666
